time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction
233472,565.75325658,437,242.0,533,114,1130,0.12576886,0.00012468360146158374,0.2,0.9923672080039978,-0.1304778903722763,-0.4080019610002637,-0.08282926779938862,0.2668896019458771,0.0003,0.5568359375
235520,566.4186355100001,438,242.0,536,115,1140,0.12758908,0.00014052730435878402,0.2,0.9902574419975281,-0.11184290796518326,-0.33183501213788985,-0.07966886024805717,0.2606741189956665,0.0003,0.55244140625
237568,566.94030095,439,242.0,540,116,1150,0.13395166,0.00013895757740556292,0.2,0.9898346662521362,-0.12449575215578079,-0.2604480944573879,-0.08344765967776765,0.25700506567955017,0.0003,0.561083984375
239616,567.45237651,440,242.0,544,117,1160,0.14078209,0.00014214160567007638,0.2,0.9912605285644531,-0.11044219136238098,-0.21758465282619,-0.08063801761745708,0.25486862659454346,0.0003,0.570849609375
241664,568.49764889,441,242.0,547,118,1170,0.16399866,0.0001324040375607183,0.2,0.9896607398986816,-0.11953502893447876,-0.15864261500537397,-0.08514741997350939,0.25043120980262756,0.0003,0.593701171875
243712,568.98202063,442,242.0,551,119,1180,0.14418021,0.0001950406517380543,0.2,0.9854009747505188,-0.12461863458156586,-0.11191645637154579,-0.07943449162557954,0.24911990761756897,0.0003,0.5720703125
245760,569.4678614300001,442,242.0,554,120,1190,0.15119952,0.00014108771708833955,0.2,0.9887385368347168,-0.12455438077449799,-0.05925753004848957,-0.08423314775864128,0.24360284209251404,0.0003,0.57333984375
247808,570.03444486,443,242.0,558,121,1200,0.13701569,0.00018964062739996735,0.2,0.9850555658340454,-0.11922549456357956,0.023417238146066666,-0.07972268039666233,0.2391553521156311,0.0003,0.5697265625
249856,571.0024902499999,444,242.0,562,122,1210,0.1607571,0.00020221219906488841,0.2,0.9847625494003296,-0.1257312148809433,0.09259304068982602,-0.08394143077312037,0.23531490564346313,0.0003,0.59072265625
251904,571.8748675399999,445,242.0,565,123,1220,0.1697889,0.00024666546348726113,0.2,0.981333315372467,-0.09864643961191177,0.15652937740087508,-0.07694927316188113,0.23120832443237305,0.0003,0.587255859375
253952,573.1012768999999,445,242.0,569,124,1230,0.15803036,0.00016302393289606697,0.2,0.9859616756439209,-0.11761456727981567,0.21915356144309045,-0.08615520958555863,0.2283882200717926,0.0003,0.588134765625
256000,574.45013332,446,242.0,573,125,1240,0.15366043,0.00020462473992211017,0.2,0.9837344884872437,-0.1307675689458847,0.26404184214770793,-0.0835659620410297,0.22574380040168762,0.0003,0.592919921875
258048,575.71596445,447,242.0,576,126,1250,0.18402243,0.0002862860856112093,0.2,0.9818608164787292,-0.12342110276222229,0.32373838424682616,-0.09041028043138795,0.22172099351882935,0.0003,0.613623046875
260096,576.5157582200001,447,242.0,580,127,1260,0.17560948,0.00021961543184261244,0.2,0.982681155204773,-0.12377024441957474,0.3890310853719711,-0.08366785858233924,0.21865203976631165,0.0003,0.5904296875
262144,577.71804579,448,242.0,584,128,1270,0.17876199,0.00018923310540230887,0.2,0.9855648875236511,-0.11348278075456619,0.44346414860337974,-0.08172647362807765,0.21586792171001434,0.0003,0.59794921875
264192,579.0560270000001,449,242.0,587,129,1280,0.16082604,0.0002366661847645446,0.2,0.9835848212242126,-0.12209539115428925,0.49755921941250564,-0.08020488586189459,0.21285474300384521,0.0003,0.583251953125
266240,580.2945005500001,450,242.0,591,130,1290,0.19314514,0.0002546111490119074,0.2,0.981061577796936,-0.11470501869916916,0.5579047424718737,-0.08362779949966352,0.20987334847450256,0.0003,0.59267578125
